,tech,related,strategy
,AI Hardware,Nvidia,Try
,AI Hardware,IBM Power Systems,Hold
,AI Hardware,Graphcore,Hold
,AI Hardware,Intellifusion,Try
,AI Hardware,Wave Computing,Hold
,AI Hardware,Berkshilre Grey,Try
,AI Hardware,Blaize,Hold
,AI Hardware,Credo,Hold
,AI Hardware,Hailo,Try
,AI Hardware,Mythic,Hold
,AI Hardware,Movidius,Try
,AI Hardware,Horizon Robotics,Hold
,AI Hardware,Cornami,Hold
,AI Hardware,Cerebras,Try
,AI Hardware,Speedata,Hold
,AI Hardware,tenstorrent,Try
,AI Hardware,groq,Hold
,BI Platforms,Looker,Hold
,BI Platforms,Sales Force - einstein analytics,Try
,BI Platforms,amazon quickSight,Hold
,BI Platforms,Domo,Try
,BI Platforms,ThoughtSpot,Hold
,BI Platforms,SiSense,Hold
,BI Platforms,AtScale,Try
,BI Platforms,Qlik,Hold
,BI Platforms,GoodData,Try
,BI Platforms,Information Builders,Hold
,BI Platforms,Birst - An Infor(tm) company,Hold
,BI Platforms,MicroStrategy,Try
,BI Platforms,Keen IO,Hold
,Visualization,Tableau,Try
,Visualization,Microsoft - Power Bi,Hold
,Visualization,SAP - Lumira,Hold
,Visualization,Google - Data Studio,Try
,Visualization,Periscope Data,Hold
,Visualization,zepl,Try
,Visualization,ZoomData - A Logi Analytics Company,Hold
,Visualization,Plotly,Hold
,Visualization,Toucan Toco,Try
,Visualization,Observable,Hold
,Visualization,GRID,Try
,Visualization,Preset,Hold
,Data Analyst Platforms,Microsoft,Hold
,Data Analyst Platforms,Pentaho - A Hitchi Group Company,Try
,Data Analyst Platforms,Alteryx,Hold
,Data Analyst Platforms,Mode,Try
,Data Analyst Platforms,Datameer,Hold
,Data Analyst Platforms,Digital Reasoning,Hold
,Data Analyst Platforms,Endor,Try
,Data Analyst Platforms,Microsoft Power Bi,Hold
,Data Analyst Platforms,Attivio,Try
,Data Analyst Platforms,incorta,Hold
,Data Analyst Platforms,guavus - a Thales company,Hold
,Data Analyst Platforms,Ascend.io,Try
,Data Analyst Platforms,switchboard,Hold
,Data Analyst Platforms,obviously.ai,Try
,Data Analyst Platforms,Airtable,Hold
,Augmented Analytics,ThoughtSpot,Hold
,Augmented Analytics,SiSu Data,Try
,Augmented Analytics,anodot,Hold
,Augmented Analytics,outlier,Try
,Augmented Analytics,narrative science,Hold
,Augmented Analytics,facet,Hold
,Augmented Analytics,macheye,Try
,Augmented Analytics,cliff.ai,Hold
,Data Catalog and Discovery,metaphor,Try
,Data Catalog and Discovery,atlan,Hold
,Data Catalog and Discovery,data.world,Hold
,Data Catalog and Discovery,stemma,Try
,Data Catalog and Discovery,select star,Hold
,Data Catalog and Discovery,secoda,Try
,Data Catalog and Discovery,castor,Hold
,Metrics Store,GoodData,Hold
,Metrics Store,Trace,Try
,Metrics Store,Supergrain,Hold
,Metrics Store,transform,Try
,Metrics Store,Metriql,Hold
,Log Analytics,Splunk,Hold
,Log Analytics,Azure Log Analysis,Try
,Log Analytics,Google Cloud Logging,Hold
,Log Analytics,sumo logic,Try
,Log Analytics,loggly solarwinds,Hold
,Log Analytics,kibana,Hold
,Log Analytics,logz.io,Try
,Log Analytics,logdna,Hold
,Log Analytics,coralogix,Try
,Log Analytics,LogRythm,Hold
,Log Analytics,Observe,Hold
,Query Engine,Dremio,Try
,Query Engine,Starburst,Hold
,Query Engine,ahana,Try
,Query Engine,amazon athena,Hold
,Query Engine,varada,Hold
,Search,elasticsearch,Try
,Search,Amazon Kendra,Hold
,Search,Oracle Endeca,Try
,Search,amazon CloudSearch,Hold
,Search,Azure Cognitive Services,Hold
,Search,algolia,Try
,Search,coveo,Hold
,Search,sinequa,Try
,Search,Lucidworks,Hold
,Search,swiftype,Hold
,Search,Attivio,Try
,Search,Exalead - Dassault Syst�mes,Hold
,Search,Alphasense,Try
,Search,omni:us,Hold
,Search,maana,Hold
,Search,quickwit,Try
,Search,chaossearch,Hold
,Sales,Einstein,Try
,Sales,Gong,Hold
,Sales,Clari,Hold
,Sales,conversica,Try
,Sales,Aviso,Hold
,Sales,people.ai,Try
,Sales,clearbit,Hold
,Sales,tact.ai,Hold
,Sales,collective [i],Try
,Sales,fuse machines,Hold
,Sales,enigma,Try
,Sales,headsup,Hold
,Marketing - B2B,App Annie,Hold
,Marketing - B2B,6Sense,Try
,Marketing - B2B,Reflektion,Hold
,Marketing - B2B,tubular,Try
,Marketing - B2B,DemandBase,Hold
,Marketing - B2C,Google Analytics,Hold
,Marketing - B2C,Tealium,Try
,Marketing - B2C,ActionIQ,Hold
,Marketing - B2C,Twilio Segment,Try
,Marketing - B2C,Mixpanel,Hold
,Marketing - B2C,Amplitude,Hold
,Marketing - B2C,Simon,Try
,Marketing - B2C,Attentive,Hold
,Marketing - B2C,mpartcle,Try
,Marketing - B2C,contentsquare,Hold
,Marketing - B2C,Active Campaign,Hold
,Marketing - B2C,Amperity,Try
,Marketing - B2C,Bloom Reach,Hold
,Marketing - B2C,zeta,Try
,Marketing - B2C,Bluecore,Hold
,Marketing - B2C,invoca,Hold
,Marketing - B2C,braze,Try
,Marketing - B2C,persado,Hold
,Marketing - B2C,kahuna,Try
,Marketing - B2C,lytics,Hold
,Marketing - B2C,signpost,Hold
,Customer Experience/Service,qualtrics XM,Try
,Customer Experience/Service,SurveyMonkey,Hold
,Customer Experience/Service,User Testing,Try
,Customer Experience/Service,Clarabridge,Hold
,Customer Experience/Service,Medallia,Hold
,Customer Experience/Service,Zendesk,Try
,Customer Experience/Service,Amplitude,Hold
,Customer Experience/Service,Freshdesk,Try
,Customer Experience/Service,Gainsight,Hold
,Customer Experience/Service,pendo,Hold
,Customer Experience/Service,heap watson assistant,Try
,Customer Experience/Service,amazon lex,Hold
,Customer Experience/Service,Dialogflow,Try
,Customer Experience/Service,liveperson,Hold
,Customer Experience/Service,intercom,Hold
,Customer Experience/Service,drift,Try
,Customer Experience/Service,asapp,Hold
,Customer Experience/Service,ada,Try
,Customer Experience/Service,afiniti,Hold
,Customer Experience/Service,netomi,Hold
,Customer Experience/Service,CallDesk,Try
,Customer Experience/Service,aircall,Hold
,Customer Experience/Service,Eureka CallCentre ???,Try
,Customer Experience/Service,Talla,Hold
,Customer Experience/Service,Frame.ai,Hold
,Customer Experience/Service,BryterCS,Try
,Customer Experience/Service,CRESTA,Hold
,Customer Experience/Service,Observe AI,Try
,Customer Experience/Service,verbit,Hold
,Customer Experience/Service,sprinklr,Hold
,Customer Experience/Service,yellow.ai,Try
,Customer Experience/Service,moengage,Hold
,Human Capital,Hire Vue,Try
,Human Capital,Pymetrics,Hold
,Human Capital,textio,Hold
,Human Capital,The Predictive Index,Try
,Human Capital,mya,Hold
,Human Capital,cathay capital,Try
,Human Capital,Wade&Wendy,Hold
,Human Capital,Beamery,Hold
,Human Capital,entelo,Try
,Human Capital,ZipRecruiter,Hold
,Legal,Ravel - a LexisNexis Company,Try
,Legal,Disco,Hold
,Legal,ContractPodAi,Hold
,Legal,Kira Systems,Try
,Legal,everlaw,Hold
,Legal,Ironclad,Try
,Legal,Relativity,Hold
,Partnerships,Crossbean,Hold
,Partnerships,Data Republic,Try
,#REF!,InfoSum,Hold
,Regtech & Compliance,BigID,Try
,Regtech & Compliance,Tessian,Hold
,Regtech & Compliance,Comply Advantage,Hold
,Regtech & Compliance,"OneTrust - Privacy, Security & Governance",Try
,Regtech & Compliance,Ethyca,Hold
,Regtech & Compliance,Securiti.ai,Try
,Finance,Anaplan,Hold
,Finance,Zuora,Hold
,Finance,Sap S/4 Hana,Try
,Finance,TradeShift,Hold
,Finance,pilot,Try
,Finance,digits,Hold
,Finance,appzen,Hold
,Finance,Oracle Netsuite,Try
,Finance,botkeeper,Hold
,Finance,Pigment,Try
,Automation & RPA,UI Path,Hold
,Automation & RPA,Celonis,Hold
,Automation & RPA,zinier,Try
,Automation & RPA,HyperScience,Hold
,Automation & RPA,Blue Prism,Try
,Automation & RPA,Automation Anywhere,Hold
,Automation & RPA,Vidado,Hold
,Automation & RPA,WorkFusion,Try
,Automation & RPA,workato,Hold
,Automation & RPA,Eigen Technologies,Try
,Automation & RPA,Catalytic,Hold
,Automation & RPA,Kryon,Hold
,Automation & RPA,AntWorks - Reimagine - Rethink - Recreate,Try
,Automation & RPA,Golden ???,Hold
,Automation & RPA,Fortress IQ,Try
,Automation & RPA,HighRadius,Hold
,Automation & RPA,Electric,Hold
,Automation & RPA,Instabase,Try
,Automation & RPA,Moveworks,Hold
,Automation & RPA,Alkymi,Try
,Automation & RPA,Tonkean,Hold
,Security,Tanioum,Hold
,Security,BlackBerry Spark,Try
,Security,zscaler,Hold
,Security,StackPath,Try
,Security,CrowdStrike,Hold
,Security,Illumio,Hold
,Security,Forter,Try
,Security,sift,Hold
,Security,riskified,Try
,Security,feedzai,Hold
,Security,datavisor,Hold
,Security,pindrop,Try
,Security,riskrecon - Mastercard,Hold
,Security,Anomali,Try
,Security,Recourded Future,Hold
,Security,Shield AI,Hold
,Security,Spark Cognition,Try
,Security,Cybereason,Hold
,Security,DarkTrace,Try
,Security,Threat Metrix,Hold
,Security,Vectra,Hold
,Security,Socure,Try
,Security,Cloudflare,Hold
,Security,Exabeam,Try
,Security,Area 1 Security,Hold
,Security,Obsidian,Hold
,Security,Sentinel One,Try
,Security,Super Red,Hold
,Security,BlueHexagon,Try
,Security,Axonius,Hold
,Security,GitGuardian,Hold
,Security,Armorblox,Try
,Security,CybelAngel,Hold
,Security,Privitar,Try
,Security,netskope,Hold
,Security,Code 42,Hold
,Security,Snyk,Try
,Advertising,Xandr,Hold
,Advertising,MediaMath,Try
,Advertising,Criteo,Hold
,Advertising,Integral Ad Science,Hold
,Advertising,Oracle Moat,Try
,Advertising,SalesForce Datorama,Hold
,Advertising,Albert,Try
,Advertising,gumgum,Hold
,Advertising,appier,Hold
,Advertising,theTradeDesk,Try
,Education,Liulishuo,Hold
,Education,????,Try
,Education,Knewton,Hold
,Education,Declara,Hold
,Education,Squirrel AI Learning,Try
,Education,Korbit,Hold
,Real Estate,Redfin,Try
,Real Estate,VTS,Hold
,Real Estate,Opendoor,Hold
,Real Estate,Orchard,Try
,Real Estate,reonomy,Hold
,Real Estate,Skyline,Try
,Real Estate,SpaceMaker,Hold
,Real Estate,Geophy,Hold
,Gov't & Intelligence,Palantir,Try
,Gov't & Intelligence,OpenGov,Hold
,Gov't & Intelligence,Dataminr,Try
,Gov't & Intelligence,Mark43,Hold
,Gov't & Intelligence,Anduril,Hold
,Gov't & Intelligence,Quid,Try
,Gov't & Intelligence,FiscalNote,Hold
,Gov't & Intelligence,Primer,Try
,Gov't & Intelligence,Streetlight Data,Hold
,Commerce,Stitch Fix,Hold
,Commerce,Instacart,Try
,Commerce,Shein,Hold
,Commerce,Faire,Try
,Commerce,HowGood,Hold
,Commerce,Standard,Hold
,Commerce,Grabango,Try
,Finance - Investing,Symphony Ayasdi,Hold
,Finance - Investing,Kensho,Try
,Finance - Investing,Addepar,Hold
,Finance - Investing,Numerai,Hold
,Finance - Lending,Affirm,Try
,Finance - Lending,Monedo,Hold
,Finance - Lending,Tala,Try
,Finance - Lending,Zest AI,Hold
,Finance - Lending,"Upgrade, Inc.",Hold
,Finance - Lending,Clearbanc,Try
,Finance - Lending,Upstart,Hold
,Finance - Lending,100Credit,Try
,Finance - Lending,Active.Ai,Hold
,Finance - Lending,commonbond,Hold
,Finance - Lending,MoneyLion,Try
,Finance - Lending,SoFi,Hold
,Finance - Lending,True Accord,Try
,Insurance,Root,Hold
,Insurance,Metromile,Hold
,Insurance,lemonade,Try
,Insurance,Guidewire,Hold
,Insurance,Shift Technology,Try
,Insurance,Arturo,Hold
,Insurance,Cape Analytics,Hold
,Insurance,USAA,Try
,Insurance,Tractable,Hold
,Insurance,Evolution IQ,Try
,Insurance,Zelros,Hold
,Insurance,zesty.ai,Hold
,Healthcare,Flatiron,Try
,Healthcare,Kyruus,Hold
,Healthcare,MetaBiota,Try
,Healthcare,Babalon,Hold
,Healthcare,3DMed,Hold
,Healthcare,PathAI,Try
,Healthcare,Tempus,Hold
,Healthcare,Patientslikeme,Try
,Healthcare,TytoCare,Hold
,Healthcare,AiCure,Hold
,Healthcare,LinkDoc,Try
,Healthcare,SigTuple,Hold
,Healthcare,Olive,Try
,Healthcare,Imagia,Hold
,Healthcare,Komondohealth,Hold
,Healthcare,Paige,Try
,Healthcare,K Health,Hold
,Healthcare,Innovaccer,Try
,Healthcare,Lumiata,Hold
,Healthcare,Spring Health,Hold
,Healthcare,the Human Diagnosis project,Try
,Healthcare,Viz.ai,Hold
,Healthcare,Enlitic,Try
,Healthcare,Arterys,Hold
,Healthcare,Ezra,Hold
,Healthcare,Caption Health,Try
,Healthcare,Imagen,Hold
,Healthcare,Zebra,Try
,Healthcare,Abacus insights,Hold
,Healthcare,Clover Health,Hold
,Healthcare,LeanTaaS,Try
,Healthcare,MindStrong,Hold
,Life Sciences,Zymergen,Try
,Life Sciences,Benchling,Hold
,Life Sciences,23andMe,Hold
,Life Sciences,Color,Try
,Life Sciences,Sophia,Hold
,Life Sciences,jCarbonX,Try
,Life Sciences,BenevolentAI,Hold
,Life Sciences,Verily,Hold
,Life Sciences,DNAnexus,Try
,Life Sciences,Pathway Genomics,Hold
,Life Sciences,Genuity Science,Try
,Life Sciences,Inato,Hold
,Life Sciences,Freenome,Hold
,Life Sciences,Atomwise,Try
,Life Sciences,Phosphorus,Hold
,Life Sciences,Deep genomics,Try
,Life Sciences,Owkin,Hold
,Life Sciences,Insitro,Hold
,Life Sciences,Exscientia,Try
,Life Sciences,recursion Pharmicuticales,Hold
,Life Sciences,ConcertAI,Try
,Life Sciences,Healx,Hold
,Life Sciences,Verana Health,Hold
,Life Sciences,Valo,Try
,Transportation,Uber,Hold
,Transportation,Tesla,Try
,Transportation,Waymo,Hold
,Transportation,Cruise,Hold
,Transportation,Nuro,Try
,Transportation,Aptiv,Hold
,Transportation,Cambridge Mobile Telematics,Try
,Transportation,Aurora,Hold
,Transportation,Nauto,Hold
,Transportation,AVMotive,Try
,Transportation,Argo,Hold
,Transportation,Pilot AI,Try
,Transportation,Nio,Hold
,Transportation,Optimus Ride,Hold
,Transportation,G7,Try
,Transportation,MobilEye,Hold
,Transportation,Nexar,Try
,Transportation,Kodiak,Hold
,Transportation,Moovit,Hold
,Transportation,Blaize,Try
,Transportation,Ghost,Hold
,Transportation,Perceptive Automata,Try
,Transportation,DiDi,Hold
,Transportation,Embark,Hold
,Transportation,Pony,Try
,Transportation,Tu Simple,Hold
,Transportation,Via,Try
,Agriculture,John Deere,Hold
,Agriculture,Farmers Bussiness Network,Hold
,Agriculture,Granular,Try
,Agriculture,Blue River Technology,Hold
,Agriculture,Taranis,Try
,Agriculture,Prospera,Hold
,Agriculture,Semios,Hold
,Other,ByteDance,Try
,Other,Stem,Hold
,Other,Amper,Try
,Other,Statespace,Hold
,Other,Verdigris,Hold
,Other,Second Spectrum,Try
,Other,Duetto,Hold
,Other,Lightricks,Try
,Other,Nextmv,Hold
,Industrial,Aveva,Hold
,Industrial,Siemens,Try
,Industrial,Schneider Electric,Hold
,Industrial,Uptake,Try
,Industrial,Sight Machine,Hold
,Industrial,Predix,Hold
,Industrial,Konux,Try
,Industrial,Fero Labs,Hold
,Industrial,Scortex,Try
,Industrial,Tachyus,Hold
,Industrial,Alice Technologies,Hold
,Industrial,Augury,Try
,Industrial,Built Robotics,Hold
,Industrial,Covariant,Try
,Industrial,Beyond Limits,Hold
,Industrial,Cognite,Hold
,Industrial,Cloudminds,Try
,Industrial,Skydio,Hold
,Industrial,CognitOps,Try
,Industrial,Crisp,Hold
,Terraform,Immutable,Hold
,Terraform,Azure,Try
,Terraform,AWS,Hold
,Terraform,Azure,Try
,Terraform,GCP,Hold
,Terraform,Private cloud,Try
,Terraform,Automation,Hold
,Terraform,GPL,Hold
,Pulumi,Immutable,Hold
,Pulumi,Azure,Try
,Pulumi,AWS,Hold
,Pulumi,Azure,Try
,Pulumi,GCP,Hold
,Pulumi,Private cloud,Try
,Pulumi,Automation,Hold
,Pulumi,GPL,Hold
